﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
CRECY-LA-CHAPELLE;87116772;SAM;2023-09-16;2023;P;P;De 6h à 10h;52
CORMEILLES-EN-PARISIS;87381863;JOB;2024-01-16;2024;J;J6;De 6h à 10h;3429
CREIL;87276006;DIM;2024-01-21;2024;H;H;Après 20h;24
CREIL;87276006;SAM;2024-01-20;2024;H;H;Avant 6h;8
CREPY-EN-VALOIS;87271593;JOB;2024-01-16;2024;K;K;De 10h à 16h;75
CREPY-EN-VALOIS;87271593;SAM;2024-01-20;2024;K;K;De 6h à 10h;79
CRETEIL-POMPADOUR;87608802;SAM;2024-02-03;2024;D;D;De 6h à 10h;1683
DOURDAN-LA-FORET;87540179;DIM;2025-09-02;2025;C;C;De 10h à 16h;3
DOMONT;87276436;DIM;2024-01-21;2024;H;H;De 16h à 20h;400
DOURDAN;87545525;JOB;2025-06-02;2025;C;C;De 16h à 20h;319
ERMONT-HALTE;87276584;JOB;2024-01-16;2024;H;H;Avant 6h;25
ENGHIEN-LES-BAINS;87276022;JOB;2024-01-16;2024;H;H;Après 20h;735
ESBLY;87116327;DIM;2023-11-19;2023;P;P;Avant 6h;35
EPINAY-VILLETANEUSE;87271122;JOB;2024-01-16;2024;H;H;Après 20h;1082
ETAMPES;87545137;SAM;2025-08-02;2025;C;C;De 10h à 16h;1252
ETAMPES;87545137;DIM;2025-09-02;2025;C;C;De 6h à 10h;330
EVRY-VAL-DE-SEINE;87681361;JOB;2024-12-03;2024;D;D;De 6h à 10h;739
FONTAINE-LE-PORT;87682427;JOB;2024-01-16;2024;R;R;De 6h à 10h;61
FRANCONVILLE-LE-PLESSIS-BOUCHARD;87276071;JOB;2025-11-02;2025;C;C;De 10h à 16h;1271
FOURQUEUX-BEL-AIR;87733675;JOB;2023-10-19;2023;T13;T13;De 16h à 20h;507
GAGNY;87113514;SAM;2022-03-19;2022;E;E;De 16h à 20h;1108
GARGAN;87113860;JOB;2021-09-21;2021;T4;T4;Après 20h;435
FRANCONVILLE-LE-PLESSIS-BOUCHARD;87276071;DIM;2025-09-02;2025;C;C;De 10h à 16h;925
GARGENVILLE;87381566;JOB;2024-01-16;2024;J;J6;Avant 6h;50
GARGES-SARCELLES;87276196;DIM;2024-03-03;2024;D;D;De 6h à 10h;3438
GISORS;87381244;JOB;2024-01-16;2024;J;J6;De 6h à 10h;484
GRAND-BOURG;87681353;DIM;2024-03-03;2024;D;D;Avant 6h;5
GARCHES-MARNES-LA-COQUETTE;87382259;SAM;2024-01-20;2024;L;L2;De 16h à 20h;557
GRIGNY-CENTRE;87681379;JOB;2024-05-03;2024;D;D;Après 20h;425
GARGENVILLE;87381566;DIM;2024-01-21;2024;J;J6;De 16h à 20h;147
HOUILLES-CARRIERES-SUR-SEINE;87386409;DIM;2024-01-21;2024;L;L3;De 16h à 20h;397
GARGES-SARCELLES;87276196;SAM;2024-02-03;2024;D;D;De 10h à 16h;10415
HOUILLES-CARRIERES-SUR-SEINE;87386409;SAM;2022-11-19;2022;A;A;Avant 6h;108
GISORS;87381244;DIM;2024-01-21;2024;J;J6;Après 20h;42
ISSOU-PORCHEVILLE;87381574;DIM;2024-01-21;2024;J;J6;De 16h à 20h;79
